item_no,description,unit,count
798-13.01,STRAND BOND ASSEMBLY,EACH,8
793-11.23,HANDHOLE 24INX36INX24IN,EACH,8
793-11.24,HANDHOLE 36INX60INX36IN,EACH,8
730-13.16,VEHICLE DETECTOR (RADAR/VIDEO),EACH,8
730-15.09,CABINET (DESCRIPTION),EACH,8
607-40.04,CORRUGATED METAL PIPE ARCH (SIZE EQUIV. 24 ROUND),L.F.,8
795-05.18,HDD 8IN HDPE CASING PIPE-ROCK,L.F.,8
202-12.00,CONSTRUCTION & REMOVAL OF TEMPORARY RUNAROUND,LS,8
203-01.04,REMOVAL OF ROCK PAD,C.Y.,8
725-21.52,REMOVAL & REPLACE TYPE B CABINET,EACH,8
209-40.50,CATCH BASIN FILTER ASSEMBLY(TYPE 10),EACH,8
793-01.38,ANCHOR 1/2IN,EACH,8
202-02.00,REMOVAL OF STRUCTURE COMPONENTS & OBSTRUCTIONS,LS,8
790-50.01,1PH PAD MTD TRANSFORMER RADIAL FEED,EACH,8
790-08.30,POLE 65FT CLASS 1 WOOD,EACH,8
603-05.22,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS,8
730-23.71,CANTILEVER SIGNAL SUPPORT (2 @ 30 & 45),EACH,8
760-13.23,INSTALL ELECTRIC UTILITY ASSY (C8C),EACH,8
760-13.25,INSTALL ELECTRIC UTILITY ASSY (A1),EACH,8
793-16.06,STRAIGHT BORE/SLEEVE 4IN,L.F.,8
712-02.45,INTERCONNECTED PORTABLE BARRIER RAIL(TO REMAIN),L.F.,8
795-08.22,36IN BUTTERFLY VALVE ASSEMBLY,EACH,8
604-02.43,ENERGY DISSIPATER (DESCRIPTION),EACH,8
607-10.04,54 CONCRETE PIPE CULVERT (CLASS V),L.F.,8
607-12.03,66 CONCRETE PIPE CULVERT (CLASS III),L.F.,8
604-01.40,"BOX CULVERTS, EXISTING (HEADWALL/WINGWALL EXTENSIONS)",S.F.,8
604-02.30,CONCRETE CULVERT ENCASEMENT (DESCRIPTION),L.F.,8
204-02.21,DRILLED CAISSON - ROCK (DESCRIPTION),L.F.,8
795-02.35,10IN HDPE WATER LINE (HDD),L.F.,8
801-01.10,SEEDING (WITH BONDED FIBER MATRIX),UNIT,8
607-13.05,1800mm CONCRETE PIPE CULVERT (CLASS V),m,8
790-54.01,1.5KVA 1PH OH  XFORMER 14 .4KV 120/240,EACH,8
790-02.02,POLE 35FT CLASS 3 WOOD,EACH,8
790-58.04,"HOOK STICK SWITH LINE TENSION, SNGL 15KV",EACH,8
705-20.47,CONCRETE PAD (QGE WIDE),EACH,8
798-06.11,FIBER OPTIC CABLE (96F),L.F.,8
793-06.01,POLE MOUNTED FIBER BOX,EACH,8
760-13.13,INSTALL ELECTRIC UTILITY ASSY (C1C),EACH,8
760-13.16,INSTALL ELECTRIC UTILITY ASSY (C2C),EACH,8
760-13.21,INSTALL ELECTRIC UTILITY ASSY (C7C),EACH,8
795-15.13,48IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,8
802-12.53,QUERCUS PAGODA (CHERRYBARK OAK SEEDLING B.R.),EACH,8
707-01.51,END & CORNER POST ASSEMBLY (CHAIN-LINK FENCE __),EACH,8
706-03.10,POST BLOCKOUTS & BACKUP PLATES,EACH,8
407-02.14,ASPHALT PAVEMENT REPAIR,S.Y.,8
791-04.07,HDD 12IN PE PIPE - UNCONSOLIDATED,L.F.,8
791-04.10,HDD <2IN PE PIPE - ROCK,L.F.,8
714-01.05,STRUCTURAL LIGHTING (BRIDGE NO.),LS,8
790-61.05,2 - 1PH SECTIONALIZERS OR RECLOSERS 25KV,EACH,8
790-62.03,1PH HYDR RECL 50A CONT 1250A INT 15KV,EACH,8
790-62.19,3PH ELECTR RECL 800ACONT 16000A INT 15KV,EACH,8
790-63.15,3PH ELECTR RECL 800A CONT 16000A INT 25KV,EACH,8
716-10.51,PRFRMED PLSTC PVMNT MRKNG (STATE SHLD),EACH,8
705-20.59,REUSABLE CRSH CUSHION NARW (MASH TL-2),EACH,8
730-24.44,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,8
730-24.45,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,8
730-24.46,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,8
730-24.47,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,8
730-24.48,CANTILEVER SIGNAL SUPPORT (DESCRIPTION),EACH,8
730-24.94,CANTILEVER SIGNAL SUPPORT (2 @ 45 & 70),EACH,8
795-01.24,36IN DIP SLIP JOINT WATER LINE,L.F.,8
718-01.02,NOISE BARRIER (DESCRIPTION),S.F.,8
725-21.92,RADAR DETECTION SYSTEM (DESCRIPTION),EACH,8
795-09.13,3IN COPPER SERVICE PIPE,L.F.,8
795-09.16,1-1/2IN HDPE SERVICE PIPE,L.F.,8
620-02.00,STEEL RAILING (DESCRIPTION),L.F.,8
790-69.24,EPOXY DEAD END,EACH,8
797-05.67,18IN PVC GRAVITY SEWER 0FT-6FT DEPTH,L.F.,8
798-06.36,FIBER OPTIC SERVICE DROP CABLE,L.F.,8
713-17.62,SIGN MOUNTED ON CONCRETE MEDIAN BARRIER (_______),EACH,8
798-06.57,FIBER OPTIC STORAGE LOOP(INSTALLATION ONLY),EACH,8
709-05.12,MACHINED RIP-RAP (DESCRIPTION),TON,8
725-22.21,CONDUIT BANK (TYPE 1),L.F.,8
790-73.04,OHGW CUSHIONED SUSP & SUSP CLAMP,EACH,8
790-74.07,48 FIBER(MATERIAL ONLY),L.F.,8
790-74.13,288 FIBER(MATERIAL ONLY),L.F.,8
790-74.22,288-432 FIBER(INSTALLATION ONLY),L.F.,8
717-01.07,MOBILIZATION (DESCRIPTION),EACH,8
790-70.21,STREET LIGHT (DESCRIPTION),EACH,8
615-04.01,FULL DEPTH PRCST/PRSTRSSD TYPE I DECK PANELS,S.Y.,8
615-04.05,PARTIAL DEPTH PRECAST DECK PANEL,S.Y.,8
615-04.11,EPOXY GROUT,C.F.,8
790-71.50,DDE 2 POLE 69KV MAX,EACH,8
790-71.66,TANGENT W/ UPSWEPT ARMS 161KV MAX,EACH,8
209-01.11,CONSTRUCTION ACCESS,LS,8
713-16.57,REMOVE AND REPLACE SIGN (DESCRIPTION),EACH,8
713-17.20,OVERHEAD SIGN SUPPORT FOOTING (STA.                ),LS,8
501-01.05,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 12,S.Y.,8
501-01.41,FULL & PARTIAL DEPTH PCC PAVEMENT REPAIRS,C.Y.,8
501-01.42,PARTIAL DEPTH PCC PAVEMENT REPAIR,S.Y.,8
705-14.74,CONCRETE PAD (REACT 350),EACH,8
797-11.43,BRIDGE HANGER SYSTEM,LS,8
607-50.31,PRECAST CONCRETE BOX BRIDGE (SIZE ),L.F.,8
802-02.41,CUTTINGS: SALIX SERICEA (24-48IN),EACH,8
604-10.78,RISER BLOCK REPAIR,EACH,8
790-30.42,SECONDARY CONDUCTOR___ SGL COND,L.F.,7
501-01.16,PORTLAND CEMENT CONCRETE PAVEMENT (PLAIN) 13 FAST TRACK,S.Y.,7
705-06.32,GR TERMINAL (GATING) (TYPE 21) MASH TL2,EACH,7
714-08.15,LIGHT STANDARDS (DESCRIPTION),EACH,7
795-06.14,CONNECT TO 36IN WATER LINE,EACH,7
714-09.01,LUMINAIRES (150 WATT),EACH,7
203-40.15,TIE-BACK ANCHORS (6-STRAND UNCLASSIFIED),L.F.,7
606-22.14,PILE TIPS (STEEL PIPE PILES 24 IN),EACH,7
797-10.33,PUMP STATION #2,LS,7
705-04.12,"FLARED ENERGY ABSORBING TERMINAL(NCHRP 350, TL 3 MEDIAN DIV)",EACH,7
713-01.10,SIGNING,LS,7
705-01.50,SHOP CURVED GUARDRAIL AT BRIDGE ENDS,L.F.,7
209-01.10,EROSION AND SILTATION CONTROL (DESCRIPTION),LS,7
797-05.31,__IN DIP GRAVITY SEWER 12FT-18FT DEPTH,L.F.,7
797-05.21,24IN DIP GRAVITY SEWER 0FT-6FT DEPTH,L.F.,7
615-02.14,PRESTRESSED CONCRETE BOX BEAM (48 X 48),L.F.,7
790-71.67,HORIZ POST TANGENT 161KV MAX,EACH,7
725-20.28,STEEL OVERHEAD SIGN STRUCTURE (SPANS 151FT TO 180FT),EACH,7
790-27.10,DBL CKT CROSSARM DDE 15KV,EACH,7
790-30.05,SECONDARY RACKS,EACH,7
790-41.05,UG PRI COND 3/0 AL 15KV,L.F.,7
790-41.01,UG PRI COND 2 AL 15KV,L.F.,7
202-06.22,REMOVAL OF BUILDINGS (TRACT NO.),LS,7
714-16.02,NAVIGATIONAL LIGHTING,LS,7
717-01.06,MOBILIZATION (DESCRIPTION),EACH,7
802-13.07,ILEX OPACA (AMERICAN HOLLY 2-5FT CNTNR GRWN),EACH,7
606-22.16,LOAD TESTING (STEEL PIPE PILES 24 IN),EACH,7
725-21.98,RDS COMM AND LOGIC  CONTROLLER,EACH,7
612-06.01,REPOINTING OF STONE MASONRY JOINTS,L.F.,7
793-04.10,TRANSFER BURIED DROP,EACH,7
806-02.14,SIDEWALK FINISH MOWING,ACRE,7
627-01.03,DRAINAGE LAYER MATERIAL,C.Y.,7
790-41.33,UG PRI COND 2 CU 25KV,L.F.,7
797-10.28,CONNECT EX. 4IN SEWER TO NEW MANHOLE,EACH,7
795-06.25,TIE TO 6IN MAIN INCL VALVE & FITTINGS,EACH,7
712-09.20,TEMPORARY PLASTIC PAVEMENT MARKING(NOISE STRIP),L.F.,7
303-10.06,MINERAL AGGREGATE (SIZE   ),TON,7
708-02.02,MARKERS (DESCRIPTION),EACH,7
725-21.01,DYNAMIC MESSAGE SIGN,EACH,7
604-02.46,ENERGY DISSIPATER (DESCRIPTION),EACH,7
791-08.15,2IN STEEL SERVICE PIPE,L.F.,7
714-12.06,CONTROL CENTER (NO. 6),LS,7
701-01.03,CONCRETE SIDEWALK - 4  (DESCRIPTION),S.F.,7
620-15.00,HANDRAIL ASSEMBLY (DESCRIPTION),L.F.,7
604-03.76,CLASS X CONCRETE,C.Y.,7
716-16.10,PREFORMED  YIELD WORD (8FT W/ 1 ½IN BLACK CONTRAST),EACH,7
716-15.12,PREFORMED PERMANENT TAPE (12IN LINE),L.F.,7
716-14.02,PROFILED THERMO PVMT MRKNG AUDIBLE (6IN),L.M.,7
790-71.22,TANGENT LN POST/SUSP INS 69KV MAX,EACH,7
790-70.23,STREET LIGHT (DESCRIPTION),EACH,7
615-04.03,"PRECAST DECK PANEL (5,000 PSI)",C.Y.,7
602-10.10,ANCHOR BOLTS,EACH,7
790-26.11,3PH VERTICAL TANGENT SM ANGLE 25KV,EACH,7
711-04.00,CONCRETE GLARE SCREEN MEDIAN BARRIER WALL,L.F.,7
760-15.01,1-PH CROSSARM CNSTR DEADEND (VA7),EACH,7
716-09.72,WET REFLECTIVE PAVEMEMT MARKING (4LINE),L.M.,7
797-06.19,HDD 8IN HDPE CASING PIPE-ROCK,L.F.,7
790-60.08,3 - 1PH SECTLR OR RECL W/ BYPASS SW 15KV,EACH,7
713-17.60,SIGN MOUNTED ON CONCRETE MEDIAN BARRIER (_______),EACH,7
790-68.08,POLE GROUND W/ PLTFM FOR AIR BREAK SWCH,EACH,7
795-12.26,REMOVE 6IN METER ASSEMBLY,EACH,7
795-12.11,ASBESTOS REMOVAL,L.F.,7
725-15.84,3 IN CONDUIT (BORED),L.F.,7
202-06.24,REMOVAL OF BUILDINGS (TRACT NO.),LS,7
790-25.35,3PH COVERED AERIAL CBL ANGLE ASSMBLY 15KV,EACH,7
790-25.33,3PH COVERED AERIAL CBL TANGET BRKT 15KV,EACH,7
790-25.28,3PH CROSSARM SGL 10FT 15KV,EACH,7
790-25.26,3PH CROSSARM DDE 10FT ARMS 15KV,EACH,7
607-41.04,24 SLOPE DRAIN PIPE,L.F.,7
790-24.06,2PH DEAD END 25KV,EACH,7
795-99.03,6FT X 6FT METER VAULT,EACH,7
791-04.27,HDD __IN STEEL PIPE - UNCONSOLIDATED,L.F.,7
773-26.71,XXSEA    REMOVE ANY SIZE AERIAL DROP,EACH,7
773-26.69,XXPE   REMOVE ANY SIZE DOWN OR OVERHEAD GUY,EACH,7
791-04.03,HDD 3IN PE PIPE - UNCONSOLIDATED,L.F.,7
791-03.03,3IN HDPE GAS MAIN,L.F.,7
791-01.40,RELOCATE SERVICE,EACH,7
707-01.22,TEMP GATE - CHAIN LINK FENCE-6FT (DESCRIPTION),EACH,7
407-02.12,REMOVAL & DISPOSAL OF EXISTING ASPHALT PAVEMENT,TON,7
717-01.22,MOBILIZATION (INFRARED REPAIRS),EACH,7
795-02.02,3IN HDPE WATER LINE,L.F.,7
730-24.81,CANTILEVER SIGNAL SUPPORT (2 @ 35 & 55),EACH,7
610-11.05,PLASTIC PIPE DRAINS (12),L.F.,7
707-02.11,CHAIN-LINK FENCE (6 FOOT) (VINYL COATED),L.F.,7
719-01.43,SWEEPING (YEAR 3),L.M.,7
719-01.42,SWEEPING (YEAR 2),L.M.,7
719-01.41,SWEEPING (YEAR 1),L.M.,7
203-03.05,BORROW EXCAVATION (SELECT MATERIAL),TON,7
203-02.00,BORROW EXCAVATION (SOLID ROCK),C.Y.,7
795-05.74,BORE/JACK 6IN STEEL CASING PIPE-ROCK.,L.F.,7
793-06.02,POLE MOUNTED XBOX,EACH,7
730-24.05,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH,7
730-24.04,"FOUNDATION - CANTILEVER SIGNAL SUPPORT,(_____)",EACH,7
716-08.24,REMOVAL OF PAVEMENT MARKING (LANE REDUCTION ARROW),EACH,7
790-60.05,3 - 1PH SECTIONALIZERS OR RECLOSERS 15KV,EACH,7
798-05.60,5/16 EHS STEEL STRAND,L.F.,7
798-05.59,5/16 HS STEEL STRAND,L.F.,7
805-01.04,TURF REINFORCEMENT MAT (CLASS IV),S.Y.,7
795-07.20,16IN X 12IN TAPPING SLEEVE AND VALVE,EACH,7
802-04.70,GROUND COVER (DESCRIPTION),EACH,7
797-08.09,8IN CLEAN OUT ASSEMBLY,EACH,7
797-08.03,HDPE FITTINGS,LB.,7
797-07.86,CAST-IN-PLACE MANHOLE,EACH,7
795-03.36,10IN C900 PVC WATER LINE,L.F.,7
795-03.01,1-1/2IN PVC WATER LINE,L.F.,7
725-20.82,RADIO & ANTENNA (TYPE B),EACH,7
793-07.42,HOT SPLICE EXISTING RIBBON FIBERS,EACH,7
793-98.03,REMOVE CARRIER CABINET,EACH,7
725-20.75,COMMUNICATION CONNECTION (DESCRIPTION),LS,7
725-21.05,DYNAMIC MESSAGE SIGN REMOVE & REPLACE,EACH,7
707-03.14,FIVE STRAND BARBED WIRE FENCE,L.F.,7
307-03.06,ASPHALT CONCRETE MIX (PG76-22) (BPMB-HM) GRADING B,TON,7
791-06.30,CONNECT TO __IN EX. PE MAIN,EACH,7
714-02.05,ENCASED CONDUIT (DESCRIPTION),L.F.,7
790-43.32,SPLICE 900A 25KV,EACH,7
607-65.66,30 MINIMUM ID PIPE TO SLIP LINE 36 PIPE,L.F.,7
795-07.27,20IN X 20IN TAPPING SLEEVE AND VALVE,EACH,7
611-39.07,"CATCH BASINS, TYPE 39, > 24 - 28 DEPTH",EACH,7
790-21.12,1PH CROSSARM DDE 15KV,EACH,7
602-10.22,STRUCTURAL STEEL WELD REPAIR,EACH,7
790-23.06,2PH VERTICAL CONST DEADEND (SGL) 15KV,EACH,7
790-43.14,SPLICE 600A 15KV,EACH,7
607-41.02,15 SLOPE DRAIN PIPE,L.F.,7
798-13.02,BRANCH STRAND TERMINATION,EACH,7
798-12.24,SPLITTER,EACH,7
797-05.08,10IN DIP GRAVITY SEWER >18FT DEPTH,L.F.,7
791-04.32,HDD 6IN STEEL PIPE - ROCK,L.F.,7
802-12.34,QUERCUS MUEHLENBERGII (CHINKAPIN OAK SEEDLNG B.R.),EACH,7
615-01.14,PRESTRESSED CONCRETE BULB TEE BEAM (8 WEB)(BT-63),L.F.,7
707-02.41,"ROCK ANCHOR, TYPE I",EACH,7
790-54.09,37.5KVA 1PH OH XFORMER 14.4KV 120/240,EACH,7
791-05.73,12IN STEEL CASING,L.F.,7
798-08.07,TRANSFER SVC DROP,EACH,7
730-35.50,ROAD SIDE UNIT (RSU),EACH,7
208-01.03,GRADE AND RESHAPE SHOULDERS,L.M.,7
725-02.16,CONDUIT (STRUCTURES - DESCRIPTION),L.F.,7
725-23.24,FIBER OPTIC DROP CABLE (DESCRIPTION),L.F.,7
606-04.02,"LOADING TEST (STEEL PILES, 14 INCH)",EACH,7
801-06.10,SHREDDED HARDWOOD MULCH(LANDSCAPING),C.Y.,7
798-05.53,COMMUNICATION ASSEMBLY (SPLICE),EACH,7
790-05.04,POLE 50FT CLASS 4 WOOD,EACH,7
798-13.05,DIRECTIONAL COUPLER,EACH,7
725-23.30,FIBER OPTIC TERMINATION CABINET (144 F),EACH,7
798-10.16,SERVICE TAP ASSEMBLY,EACH,7
713-15.09,STEEL CABLE OVERHEAD SIGN SUPPORT,EACH,7
791-05.53,8IN STEEL CASING OPEN CUT,L.F.,7
791-05.20,BORE/JACK 10IN - STEEL CASING PIPE - ROCK,L.F.,7
773-26.57,PM2A   GROUND WIRE ELECTRIC NEUTRAL,EACH,7
773-26.56,PM11   GUY GUARD,EACH,7
790-14.10,POLE 95FT CLASS H7 METAL,EACH,7
802-12.04,ACER SACCHARUM (SUGAR MAPLE SEEDLNG B.R.),EACH,7
209-03.58,STREAM MITIGATION (DESCRIPTION),L.F.,7
793-11.07,8IN PEDESTAL W/TERMINAL,EACH,7
714-03.04,DIRECT BURIAL CONDUIT (DESCRIPTION),L.F.,7
730-23.87,CANTILEVER SIGNAL SUPPORT (2 @ 40 & 45),EACH,7
725-22.62,STRUCTURE CONDUIT BANK (TYPE 2),L.F.,7
725-22.61,STRUCTURE CONDUIT BANK (TYPE 1),L.F.,7
606-04.01,"TEST PILES (STEEL PILES, 14 INCH)",L.F.,7
790-05.16,POLE 50FT CLASS 3 METAL,EACH,7
790-50.03,1PH TRANSFORMER PAD,EACH,7
790-43.54,1PH PRIMARY RISER W/ 4IN CONDUIT,EACH,7
603-02.03,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS,7
714-01.32,STRUCTURAL LIGHTING (DESC),LS,7
795-05.19,HDD 10IN HDPE CASING PIPE-ROCK,L.F.,7
607-40.02,CORRUGATED METAL PIPE ARCH (SIZE EQUIV. 18 ROUND),L.F.,7
802-13.73,VIBURNUM DENTATUM (ARROWWOOD VIBURNUM SDLING B.R.),EACH,7
790-11.08,POLE 80FT CLASS H5 METAL,EACH,7
709-06.00,NON-REINFORCED CONCRETE SLOPE PAVEMENT,C.Y.,7
209-20.21,SEDIMENT POND OUTLET STRUCTURE (DESCR.),LS,7
209-13.07,TURBIDITY CURTAIN(DESCRIPTION),L.F.,7
209-13.06,TURBIDITY CURTAIN(DESCRIPTION),L.F.,7
793-01.20,POLE 50FT CLASS 2 WOOD,EACH,7
795-09.30,3/4IN PEXa SERVICE PIPE IN 2 PEXa CASING,L.F.,7
795-16.14,RELOCATE WATER PUMPING STATION FACILITIES,EACH,7
714-08.31,REMOVAL OF FOUNDATION(ONLY) FOR LIGHT STANDARD,EACH,7
502-06.01,EXPANSION JOINT REPLACEMENT,L.F.,7
705-06.19,SHORT-RADIUS GUARDRAIL SYSTEM (48FT RADIUS) MASH TL-3,EACH,7
790-40.43,OH COND 397.5 19 AAC CANNA,L.F.,7
760-15.23,SECONDARY ASSEMBLIES (K11 K11C J6 J8),EACH,7
725-15.82,3 IN CONDUIT,L.F.,7
795-10.20,2IN PRV ASSEMBLY,EACH,7
795-10.06,2IN MANUAL AIR RELEASE VALVE ASSEMBLY,EACH,7
707-10.08,WIRE MESH (DESCRIPTION),S.Y.,7
791-99.01,ADDER FOR FULL CLEAN STONE BACKFILL,L.F.,7
713-06.01,STEEL I-BEAMS & WF-BEAMS(BREAKSAFE) SIGN SUPPORT,LB.,7
790-32.27,OVERHEAD GUY LIGHT CONSTRUCTION - PREFORM,EACH,6
730-02.55,SIGNAL HEAD ASSEMBLY (130 A3FY WITH BACKPLATE),EACH,6
730-02.54,SIGNAL HEAD ASSEMBLY (130 A3FY),EACH,6
607-50.13,PRECAST CONCRETE BOX CULVERT (SIZE ),L.F.,6
790-32.26,DOWN GUY LIGHT CONSTRUCTION - PREFORM,EACH,6
797-10.50,Locator Wire Pull Box-Concrete box w/cast iron frame & lid,EACH,6
791-09.09,REGULATOR STATION TIE-IN ONLY,EACH,6
791-10.11,RETIRE IN PLACE 3IN SERV CUT & PLUG,EACH,6
791-15.80,Locator Wire Pull Box-Concrete box w/cast iron frame & lid,EACH,6
791-15.81,LOCATOR WIRE (DESCRIPTION),L.F.,6
707-15.51,MOBILIZATION,EACH,6
760-15.17,GUY MARKER (E3-10),EACH,6
611-80.01,MISC DRAINAGE STRUCTURES,MNTH,6
611-90.20,INLETS,MNTH,6
612-04.02,RELOCATE DECORATIVE STONE COLUMNS,LS,6
999-99.92,PAYMENT & PERFORMANCE BOND(ESTIMATED REIMBURSABLE COST),LS,6
105-10.01,ROUTINE MAINTENANCE SERVICES,EACH,6
790-31.16,SERVICE CONDUCTOR__ AL TRIPLEX,L.F.,6
790-31.23,SERVICE CONDUCTOR 4/0 AL QPLEX,L.F.,6
730-02.57,SIGNAL HEAD ASSEMBLY (140 A3F WITH BACKPLATE),EACH,6
795-06.13,CONNECT TO 30IN WATER LINE,EACH,6
795-16.15,RELOCATE/RECONNECT BACKFLOW ASSEMBLY,EACH,6
793-09.09,600 PAIR BURIED CABLE,L.F.,6
793-11.05,6IN PEDESTAL W/TERMINAL,EACH,6
203-12.30,WETLAND MATERIALS EXCAVATION AND RELOCATION,C.Y.,6
714-05.07,PULL BOXES (DESCRIPTION),EACH,6
795-09.38,1N SERVICE PIPE,L.F.,6
795-09.39,2N SERVICE PIPE,L.F.,6
793-01.23,POLE 55FT CLASS 1 WOOD,EACH,6
302-01.01,HYDRATED LIME,TON,6
771-30.32,CONCRETE CURB AND GUTTER,L.F.,6
802-12.20,NYSSA AQUATICA (SWAMP TUPELO SEEDLNG B.R.),EACH,6
798-05.04,1/4IN EHS STEEL STRAND,L.F.,6
798-05.07,3/8IN HIGH STRENGTH STRAND,L.F.,6
798-05.26,COMMUNICATION ASSEMBLY (TAP),EACH,6
790-16.01,POLE 105FT CLASS H4 METAL,EACH,6
790-17.02,POLE 110FT CLASS H5 METAL,EACH,6
621-05.14,TEMPORARY SHORING (DESCRIPTION),LS,6
607-37.09,60 CORRUGATED METAL PIPE CULVERT,L.F.,6
795-05.08,HDD 16IN HDPE CASING PIPE-UNCON,L.F.,6
795-05.15,HDD 2IN HDPE CARRIER PIPE-ROCK,L.F.,6
795-05.16,HDD 4IN HDPE CASING PIPE-ROCK,L.F.,6
714-01.36,ROADWAY LIGHTING,LS,6
714-01.69,REMOVE CONDUCTOR,L.F.,6
602-20.01,ALUMINUM STRUCTURE,LS,6
790-43.57,3PH PRIMARY RISER W/ 3IN CONDUIT,EACH,6
790-09.06,POLE 70FT CLASS H3 METAL,EACH,6
603-05.23,CONTAINMENT & DISPOSAL OF WASTE(LOCATION & DESCRP),LS,6
790-05.17,POLE 50FT CLASS H4 METAL,EACH,6
795-08.17,20IN BUTTERFLY VALVE ASSEMBLY,EACH,6
801-01.41,HYDRAULIC EROSION CONTROL PRODUCT (HECP) TYPE 2,UNIT,6
801-01.43,HYDRAULIC EROSION CONTROL PRODUCT (HECP) TYPE 4,UNIT,6
202-13.01,WELL ABANDONMENT (DESCR),LS,6
795-15.08,26IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,6
611-51.04,"CATCH BASINS, TYPE 51, > 12 - 16 DEPTH",EACH,6
710-10.05,12 PERFORATED PLASTIC PIPE,L.F.,6
790-20.51,4 FT. DIA DRILLED PIER FOUNDATION,V.F.,6
790-20.52,5 FT. DIA DRILLED PIER FOUNDATION,V.F.,6
802-15.01,ELEOCHARIS ACICULARIS (SLENDER SPIKERUSH),EACH,6
790-15.03,POLE 100FT CLASS H6 METAL,EACH,6
791-05.10,BORE/JACK 8IN - STEEL CASING PIPE - UNCON.,L.F.,6
713-16.11,SOLAR FLASHING ASSEMBLY (WITH 48 SIGN),EACH,6
725-24.08,CABINET MODIFICATION (TYPE B - CCTV),EACH,6
795-08.21,30IN BUTTERFLY VALVE ASSEMBLY,EACH,6
607-18.01,CULVERT INSPECTION WITH CAMERA,L.F.,6
716-04.23,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 1 ARROW),EACH,6
795-08.18,20IN GATE VALVE ASSEMBLY,EACH,6
204-10.31,FOUNDATION PREPARATION (DESCRIPTION),LS,6
725-03.02,DYNAMIC MESSAGE SIGN,EACH,6
730-26.03,"PEDESTRIAN SIGNAL HEAD, PUSHBUTTON & 12 SIGN",EACH,6
606-17.06,"PILE TIPS (STEEL PIPE PILES, 12-INCH)",EACH,6
719-02.16,SPOT LITTER,L.M.,6
607-66.01,PORTLAND CEMENT 94 LB BAG,EACH,6
713-16.42,RELOCATE SIGN & REWIRE,LS,6
797-06.80,BORE/JACK 24IN STEEL CASING PIPE-ROCK.,L.F.,6
790-02.05,POLE 35FT CLASS 6 WOOD,EACH,6
621-01.04,TEMPORARY STRUCTURE (DESCRIPTION - STATION),LS,6
798-06.02,FIBER OPTIC CABLE (4F),L.F.,6
603-02.04,REPAINTING EXISTING STEEL STRUCTURES (LOC. & DES.),LS,6
707-02.12,END & CORNER POST ASSEMBLIES (6 VINYL COATED),EACH,6
615-01.32,PRESTRESSED CONCRETE WIDE BULB TEE BEAM (WBT-66),L.F.,6
719-01.15,ADDITIONAL SWEEPING,L.M.,6
797-03.38,4IN PVC FORCE MAIN (0-8FT),L.F.,6
791-04.53,HDD 4IN POWERCRETE COATED STEEL GAS MN,L.F.,6
411-33.35,STAMPED ASPHALT (DESCRIPTION),S.F.,6
414-01.05,POLYMER MODIFIED BITUMINOUS SURFACE TREATMENT,S.Y.,6
795-15.06,22IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,6
602-10.56,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,6
602-10.57,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,6
602-10.58,STRUCTURAL STEEL REPAIR(DESCRIPTION),EACH,6
730-15.41,EIGHT PH ACTUATED CONTROLLER (FIBER),EACH,6
604-09.83,CONCRETE REPAIRS,EACH,6
604-09.84,CONCRETE REPAIRS,EACH,6
797-07.25,72IN MANHOLE 6FT-8FT DEPTH,EACH,6
730-09.26,SPAN WIRE ASSEMBLY (LOCATION DESCRIPTION),L.F.,6
791-06.43,CONNECT TO 3IN EX PE MAIN,EACH,6
707-03.12,THREE STRAND BARBED WIRE FENCE,L.F.,6
797-03.02,1-1/4IN PVC FORCE MAIN,L.F.,6
725-03.53,VIDEO DETECTION SYSTEM,EACH,6
795-10.04,1IN MANUAL AIR RELEASE VALVE ASSEMBLY,EACH,6
795-15.24,10IN STEEL CASING PIPE OPEN CUT METHOD,L.F.,6
719-02.15,ADDITIONAL LITTER,CYCL,6
604-02.38,EPOXY COATED REINFORCING STEEL COUPLERS,EACH,6
725-21.93,RADAR DETECTION SYSTEM (DESCRIPTION),EACH,6
604-07.21,RETAINING WALL (DESCRIPTION),S.F.,6
795-02.34,8IN HDPE WATER LINE (HDD),L.F.,6
730-23.05,STEEL STRAIN POLE (DESCRIPTION),EACH,6
795-08.23,__ IN BUTTERFLY VALVE ASSEMBLY,EACH,6
607-05.04,24 CONCRETE PIPE CULVERT (CLASS V),L.F.,6
797-06.79,BORE/JACK 20IN STEEL CASING PIPE-ROCK.,L.F.,6
607-50.07,PRECAST CONCRETE BOX CULVERT (12 X 6),L.F.,6
